WORD,MPQA,OPENER,OL,VADER,IN_VOCAB,ANNOTATION
claim,0.0,0.0,0.0,0.0,True,
clarity,1.0,1.0,1.0,0.425,True,
clean,1.0,1.0,1.0,0.425,True,
clear,1.0,1.0,1.0,0.4,True,
close,-1.0,-1.0,-1.0,-1.0,True,
cloud,-1.0,-1.0,-1.0,-1.0,True,
clunky,-1.0,-1.0,-1.0,-1.0,True,
comfortable,1.0,1.0,1.0,0.575,True,
comment,0.0,0.0,0.0,0.0,True,
compact,1.0,1.0,1.0,1.0,True,
compatible,1.0,1.0,1.0,1.0,True,
complain,-1.0,-1.0,-1.0,-0.375,True,
complaining,-1.0,-1.0,-1.0,-0.2,True,
complains,-0.7,-0.7,-1.0,-0.4,True,
complaint,-1.0,-1.0,-1.0,-0.3,True,
complaints,-1.0,-1.0,-1.0,-0.425,True,
complete,0.0,0.0,0.0,0.0,True,
completely,0.0,0.0,0.0,0.0,True,
complicated,-1.0,-1.0,-1.0,-1.0,True,
compliments,0.425,0.425,0.425,0.425,True,
concern,-1.0,-1.0,-1.0,-1.0,True,
concerned,-1.0,-1.0,-1.0,-1.0,True,
confident,1.0,1.0,1.0,0.55,True,
cons,-1.0,-1.0,-1.0,-1.0,True,
consider,0.0,0.0,0.0,0.0,True,
continuous,0.0,0.0,0.0,0.0,True,
convenient,1.0,1.0,1.0,1.0,True,
cool,0.6625,0.6625,1.0,0.325,True,
correct,1.0,1.0,1.0,1.0,True,
correctly,1.0,1.0,1.0,1.0,True,
cost-effective,1.0,1.0,1.0,1.0,True,
could,0.0,0.0,0.0,0.0,True,
crack,-1.0,-1.0,-1.0,-1.0,True,
crap,-0.7,-0.7,-1.0,-0.4,True,
crash,-0.7125,-0.7125,-1.0,-0.425,True,
crashed,-1.0,-1.0,-1.0,-1.0,True,
crashes,-1.0,-1.0,-1.0,-1.0,True,
crashing,-1.0,-1.0,-1.0,-1.0,True,
crazy,-1.0,-1.0,-1.0,-0.35,True,
create,0.275,0.275,0.275,0.275,True,
created,0.25,0.25,0.25,0.25,True,
creativity,0.4,0.4,0.4,0.4,True,
credit,0.4,0.4,0.4,0.4,True,
crisp,1.0,1.0,1.0,1.0,True,
critical,-1.0,-1.0,-1.0,-0.325,True,
cut,-1.0,-1.0,-0.7583333333333333,-0.275,True,
cutting,-0.125,-0.125,-0.125,-0.125,True,
damaged,-0.7375,-0.7375,-1.0,-0.475,True,
damn,-1.0,-1.0,-1.0,-0.425,True,
dangerous,-1.0,-1.0,-1.0,-0.525,True,
dark,-1.0,-1.0,-1.0,-1.0,True,
darker,-1.0,-1.0,-1.0,-1.0,True,
dead,-1.0,-1.0,-1.0,-0.825,True,
deal,1.0,1.0,1.0,1.0,True,
death,-1.0,-1.0,-1.0,-0.725,True,
decent,1.0,1.0,1.0,1.0,True,
decrease,-1.0,-1.0,-1.0,-1.0,True,
dedicated,1.0,1.0,1.0,0.5,True,
defeats,0.3375,0.3375,1.0,-0.325,True,
defect,-1.0,-1.0,-1.0,-0.35,True,
defective,-1.0,-1.0,-1.0,-0.475,True,
definitely,1.0,1.0,0.8083333333333332,0.425,True,
delay,-0.6625,-0.6625,-1.0,-0.325,True,
denied,-0.7375,-0.7375,-1.0,-0.475,True,
desired,0.275,0.275,0.275,0.275,True,
despite,-1.0,-1.0,-1.0,-1.0,True,
die,-0.8625,-0.8625,-1.0,-0.725,True,
died,-0.825,-0.825,-1.0,-0.65,True,
dies,-1.0,-1.0,-1.0,-1.0,True,
difference,0.0,0.0,0.0,0.0,True,
difficult,-1.0,-1.0,-1.0,-0.375,True,
difficulties,-1.0,-1.0,-1.0,-0.3,True,
difficulty,-1.0,-1.0,-1.0,-0.35,True,
diminish,-1.0,-1.0,-1.0,-1.0,True,
dirty,-1.0,-1.0,-1.0,-0.475,True,
disappoint,-1.0,-1.0,-1.0,-0.425,True,
disappointed,-1.0,-1.0,-1.0,-0.525,True,
disappointing,-1.0,-1.0,-1.0,-0.55,True,
disappointment,-1.0,-1.0,-1.0,-0.575,True,
disappointments,-0.75,-0.75,-1.0,-0.5,True,
discontinued,-1.0,-1.0,-1.0,-1.0,True,
dislike,-1.0,-1.0,-1.0,-0.4,True,
dissappointed,-1.0,-1.0,-1.0,-1.0,True,
dissatisfied,-1.0,-1.0,-1.0,-0.4,True,
doa,-0.575,-0.575,-0.575,-0.575,True,
doubt,-1.0,-1.0,-1.0,-0.375,True,
down,-1.0,-1.0,-1.0,-1.0,True,
downfall,-1.0,-1.0,-1.0,-1.0,True,
downside,-1.0,-1.0,-1.0,-0.25,True,
drawback,-1.0,-1.0,-1.0,-1.0,True,
drive,1.0,1.0,1.0,1.0,True,
drop,-0.275,-0.275,-0.275,-0.275,True,
drown,-0.675,-0.675,-0.675,-0.675,True,
dud,-1.0,-1.0,-1.0,-0.25,True,
dump,-1.0,-1.0,-1.0,-0.4,True,
durability,1.0,1.0,1.0,1.0,True,
durable,1.0,1.0,1.0,1.0,True,
dust,-1.0,-1.0,-1.0,-1.0,True,
duty,0.0,0.0,0.0,0.0,True,
ease,1.0,1.0,1.0,0.375,True,
easier,1.0,1.0,1.0,0.45,True,
easiest,1.0,1.0,1.0,0.45,True,
easily,1.0,1.0,0.7833333333333333,0.35,True,
easy,1.0,1.0,1.0,0.475,True,
edgy,-1.0,-1.0,-1.0,-1.0,True,
effective,1.0,1.0,1.0,0.525,True,
efficient,1.0,1.0,1.0,0.45,True,
effin,-0.575,-0.575,-0.575,-0.575,True,
elegant,1.0,1.0,1.0,0.525,True,
else,0.0,0.0,0.0,0.0,True,
enable,1.0,1.0,1.0,1.0,True,
encourage,1.0,1.0,1.0,0.575,True,
enemies,-1.0,-1.0,-1.0,-0.55,True,
energy,0.275,0.275,0.275,0.275,True,
enjoy,1.0,1.0,1.0,0.55,True,
enjoyable,1.0,1.0,1.0,0.475,True,
enjoyed,0.7875,0.7875,1.0,0.575,True,
enjoying,0.8,0.8,1.0,0.6,True,
enough,0.0,0.0,1.0,0.3333333333333333,True,
enraged,-1.0,-1.0,-1.0,-0.425,True,
entertained,0.425,0.425,0.425,0.425,True,
entire,0.0,0.0,0.0,0.0,True,
envy,-1.0,-1.0,1.0,-0.275,True,
error,-1.0,-1.0,-1.0,-0.425,True,
errors,-0.675,-0.675,-1.0,-0.35,True,
especially,1.0,1.0,1.0,1.0,True,
essential,1.0,1.0,1.0,1.0,True,
even,1.0,1.0,1.0,1.0,True,
exact,0.0,0.0,0.0,0.0,True,
exactly,0.0,0.0,0.0,0.0,True,
exaggeration,-1.0,-1.0,-1.0,-1.0,True,
exceeded,1.0,1.0,1.0,1.0,True,
excel,1.0,1.0,1.0,0.5,True,
excelent,1.0,1.0,1.0,1.0,True,
excellent,1.0,1.0,1.0,0.675,True,
exceptional,1.0,1.0,1.0,1.0,True,
excited,1.0,1.0,1.0,0.35,True,
excuses,-1.0,-1.0,-1.0,-1.0,True,
exhaust,-1.0,-1.0,-1.0,-0.3,True,
expectation,0.0,0.0,0.0,0.0,True,
expensive,-1.0,-1.0,-1.0,-1.0,True,
expired,-1.0,-1.0,-1.0,-1.0,True,
exposed,-1.0,-1.0,-0.6916666666666668,-0.075,True,
extend,0.175,0.175,0.175,0.175,True,
extremely,-1.0,-1.0,-1.0,-1.0,True,
fabulous,1.0,1.0,1.0,0.6,True,
fact,0.0,0.0,0.0,0.0,True,
fail,-1.0,-1.0,-1.0,-0.625,True,
failed,-0.7875,-0.7875,-1.0,-0.575,True,
failing,-1.0,-1.0,-1.0,-0.575,True,
fails,-0.725,-0.725,-1.0,-0.45,True,
fairly,1.0,1.0,1.0,1.0,True,
fall,-1.0,-1.0,-1.0,-1.0,True,
falling,-0.575,-0.575,-1.0,-0.15,True,
fallout,-1.0,-1.0,-1.0,-1.0,True,
familiar,0.0,0.0,0.0,0.0,True,
fan,0.325,0.325,0.325,0.325,True,
fancy,1.0,1.0,1.0,1.0,True,
fantastic,1.0,1.0,1.0,0.65,True,
fast,0.0,0.0,1.0,0.3333333333333333,True,
faster,1.0,1.0,1.0,1.0,True,
fault,-1.0,-1.0,-1.0,-0.425,True,
faulty,-1.0,-1.0,-1.0,-0.325,True,
favor,1.0,1.0,1.0,0.425,True,
favorite,1.0,1.0,1.0,0.5,True,
feel,0.0,0.0,0.0,0.0,True,
feeling,0.0,0.0,0.04166666666666666,0.125,True,
feels,0.0,0.0,0.0,0.0,True,
fell,-1.0,-1.0,-1.0,-1.0,True,
felt,0.0,0.0,0.0,0.0,True,
fighting,-0.375,-0.375,-0.375,-0.375,True,
finally,0.0,0.0,0.0,0.0,True,
fine,0.0,0.0,1.0,0.2,True,
fire,-0.35,-0.35,-0.35,-0.35,True,
fired,-0.65,-0.65,-0.65,-0.65,True,
firmly,0.0,0.0,0.0,0.0,True,
fit,1.0,1.0,0.7916666666666666,0.375,True,
flash,-1.0,-1.0,-1.0,-1.0,True,
flawlessly,1.0,1.0,1.0,0.2,True,
flaws,-1.0,-1.0,-1.0,-1.0,True,
focused,0.4,0.4,0.4,0.4,True,
fool,-1.0,-1.0,-1.0,-0.475,True,
force,-1.0,-1.0,-1.0,-1.0,True,
forced,-0.5,-0.5,-0.5,-0.5,True,
forget,-1.0,-1.0,-0.7416666666666667,-0.225,True,
forgivable,0.425,0.425,0.425,0.425,True,
fortunately,1.0,1.0,1.0,1.0,True,
fragile,-1.0,-1.0,-1.0,-1.0,True,
freaking,-0.725,-0.725,-1.0,-0.45,True,
free,1.0,1.0,1.0,0.575,True,
freeze,-0.475,-0.475,-1.0,0.05,True,
freezes,-0.5125,-0.5125,-1.0,-0.025,True,
freezing,-0.55,-0.55,-1.0,-0.1,True,
fresh,1.0,1.0,1.0,0.325,True,
friction,-1.0,-1.0,-1.0,-1.0,True,
friend,1.0,1.0,0.85,0.55,True,
friendly,1.0,1.0,1.0,0.55,True,
friends,1.0,1.0,0.8416666666666667,0.525,True,
froze,-1.0,-1.0,-1.0,-1.0,True,
frustrated,-1.0,-1.0,-1.0,-0.6,True,
frustrating,-1.0,-1.0,-1.0,-0.475,True,
full,0.0,0.0,0.0,0.0,True,
fully,0.0,0.0,0.0,0.0,True,
fun,0.0,0.0,1.0,0.575,True,
functional,1.0,1.0,1.0,1.0,True,
funny,1.0,1.0,-1.0,0.475,True,
fuss,-1.0,-1.0,-1.0,-1.0,True,
game,-1.0,-1.0,-1.0,-1.0,True,
geek,-0.2,-0.2,-0.2,-0.2,True,
generous,1.0,1.0,1.0,0.575,True,
genius,1.0,1.0,1.0,1.0,True,
gestures,0.0,0.0,0.0,0.0,True,
giant,0.0,0.0,0.0,0.0,True,
giddy,1.0,1.0,-1.0,-0.15,True,
gift,0.475,0.475,0.475,0.475,True,
giving,0.35,0.35,0.35,0.35,True,
glad,1.0,1.0,1.0,0.5,True,
gladly,1.0,1.0,1.0,0.35,True,
glare,-1.0,-1.0,-1.0,-1.0,True,
glossy,1.0,1.0,1.0,1.0,True,
good,1.0,1.0,1.0,0.475,True,
gorgeous,1.0,1.0,1.0,0.75,True,
granted,0.25,0.25,0.25,0.25,True,
great,1.0,1.0,1.0,0.775,True,
greatest,1.0,1.0,1.0,0.8,True,
guarantee,1.0,1.0,1.0,0.25,True,
hack,-1.0,-1.0,-1.0,-1.0,True,
hacked,-0.425,-0.425,-0.425,-0.425,True,
hand,0.55,0.55,0.55,0.55,True,
handy,1.0,1.0,1.0,1.0,True,
hangs,-1.0,-1.0,-1.0,-1.0,True,
happier,0.8,0.8,1.0,0.6,True,
happy,1.0,1.0,1.0,0.675,True,
hard,-1.0,-1.0,-1.0,-0.1,True,
hardly,-1.0,-1.0,-1.0,-1.0,True,
hassle,-1.0,-1.0,-1.0,-1.0,True,
hate,-1.0,-1.0,-1.0,-0.675,True,
hated,-0.9,-0.9,-1.0,-0.8,True,
hateful,-1.0,-1.0,-1.0,-0.55,True,
headache,-1.0,-1.0,-1.0,-1.0,True,
headaches,-1.0,-1.0,-1.0,-1.0,True,
heartily,1.0,1.0,1.0,1.0,True,
heck,-1.0,-1.0,-1.0,-1.0,True,
help,1.0,1.0,0.8083333333333332,0.425,True,
helped,1.0,1.0,1.0,1.0,True,
helpful,1.0,1.0,1.0,0.45,True,
helping,0.65,0.65,1.0,0.3,True,
helps,0.4,0.4,0.4,0.4,True,
hesitate,-0.275,-0.275,-0.275,-0.275,True,
hide,-0.175,-0.175,-0.175,-0.175,True,
high,0.0,0.0,0.0,0.0,True,
hollow,-1.0,-1.0,-1.0,-1.0,True,
honest,1.0,1.0,1.0,0.575,True,
honestly,1.0,1.0,0.8333333333333334,0.5,True,
hope,1.0,1.0,0.8250000000000001,0.475,True,
hoped,0.4,0.4,0.4,0.4,True,
hoping,0.45,0.45,0.45,0.45,True,
horrible,-1.0,-1.0,-1.0,-0.625,True,
hot,1.0,1.0,1.0,1.0,True,
however,0.0,0.0,0.0,0.0,True,
huge,0.0,0.0,0.10833333333333334,0.325,True,
hung,-1.0,-1.0,-1.0,-1.0,True,
hurt,-1.0,-1.0,-1.0,-0.6,True,
idea,0.0,0.0,0.0,0.0,True,
ideal,1.0,1.0,1.0,0.6,True,
idiots,-1.0,-1.0,-1.0,-1.0,True,
idk,-0.1,-0.1,-0.1,-0.1,True,
ignorant,-1.0,-1.0,-1.0,-0.275,True,
imagine,0.0,0.0,0.0,0.0,True,
immediate,0.0,0.0,0.0,0.0,True,
immediately,0.0,0.0,0.0,0.0,True,
implore,0.0,0.0,0.0,0.0,True,
important,1.0,1.0,1.0,0.2,True,
impossible,-1.0,-1.0,-1.0,-1.0,True,
impressed,0.7625,0.7625,1.0,0.525,True,
impressions,1.0,1.0,0.7416666666666667,0.225,True,
impressive,1.0,1.0,1.0,0.575,True,
impressively,1.0,1.0,1.0,0.5,True,
improvement,1.0,1.0,1.0,0.5,True,
improvements,0.6625,0.6625,1.0,0.325,True,
improving,1.0,1.0,1.0,0.45,True,
incompatible,-1.0,-1.0,-1.0,-1.0,True,
inconvenience,-1.0,-1.0,-1.0,-0.375,True,
incorrect,-1.0,-1.0,-1.0,-1.0,True,
increase,0.325,0.325,0.325,0.325,True,
incredible,1.0,1.0,1.0,1.0,True,
incredibly,1.0,1.0,1.0,1.0,True,
indeed,0.0,0.0,0.0,0.0,True,
indication,0.0,0.0,0.0,0.0,True,
inept,-1.0,-1.0,-1.0,-1.0,True,
inevitably,-1.0,-1.0,-1.0,-1.0,True,
inexpensive,1.0,1.0,1.0,1.0,True,
influence,0.0,0.0,0.0,0.0,True,
inherent,0.0,0.0,0.0,0.0,True,
innovation,1.0,1.0,1.0,0.4,True,
insane,-1.0,-1.0,-1.0,-0.425,True,
insanity,-1.0,-1.0,-1.0,-0.675,True,
instantly,1.0,1.0,1.0,1.0,True,
integral,1.0,1.0,1.0,1.0,True,
interest,1.0,1.0,0.8333333333333334,0.5,True,
interested,1.0,1.0,0.8083333333333332,0.425,True,
interesting,1.0,1.0,1.0,0.425,True,
intuitive,1.0,1.0,1.0,1.0,True,
invalidate,-1.0,-1.0,-1.0,-1.0,True,
isolation,-1.0,-1.0,-1.0,-0.425,True,
isolator,-0.1,-0.1,-0.1,-0.1,True,
issue,-1.0,-1.0,-1.0,-1.0,True,
issues,-1.0,-1.0,-1.0,-1.0,True,
joke,1.0,1.0,-1.0,0.3,True,
joy,1.0,1.0,1.0,0.7,True,
joystick,0.175,0.175,0.175,0.175,True,
junk,-1.0,-1.0,-1.0,-1.0,True,
just,1.0,1.0,1.0,1.0,True,
key,0.0,0.0,0.0,0.0,True,
kidding,0.1,0.1,0.1,0.1,True,
killer,-1.0,-1.0,-1.0,-0.825,True,
kind,1.0,1.0,0.8666666666666667,0.6,True,
knew,0.0,0.0,0.0,0.0,True,
know,0.0,0.0,0.0,0.0,True,
lack,-1.0,-1.0,-1.0,-0.325,True,
lacking,-1.0,-1.0,-1.0,-1.0,True,
lag,-1.0,-1.0,-1.0,-0.35,True,
lags,-0.6875,-0.6875,-1.0,-0.375,True,
lame,-1.0,-1.0,-1.0,-0.45,True,
large,0.5,0.5,0.5,0.5,True,
leading,1.0,1.0,1.0,1.0,True,
learn,0.0,0.0,0.0,0.0,True,
learned,1.0,1.0,1.0,1.0,True,
learning,1.0,1.0,1.0,1.0,True,
least,-1.0,-1.0,-1.0,-1.0,True,
led,1.0,1.0,1.0,1.0,True,
lemon,-1.0,-1.0,-1.0,-1.0,True,
less,-1.0,-1.0,-1.0,-1.0,True,
lie,-1.0,-1.0,-1.0,-1.0,True,
light,1.0,1.0,1.0,1.0,True,
lighter,1.0,1.0,1.0,1.0,True,
like,1.0,1.0,1.0,0.375,True,
liked,0.725,0.725,1.0,0.45,True,
likely,0.0,0.0,0.0,0.0,True,
likes,0.725,0.725,1.0,0.45,True,
liking,1.0,1.0,1.0,0.425,True,
limited,-1.0,-1.0,-1.0,-0.225,True,
little,-1.0,-1.0,-1.0,-1.0,True,
live,1.0,1.0,1.0,1.0,True,
lol,0.5875,0.5875,0.5875,0.5875,True,
long,-1.0,-1.0,-1.0,-1.0,True,
look,0.0,0.0,0.0,0.0,True,
looking,0.0,0.0,0.0,0.0,True,
loose,-0.6625,-0.6625,-1.0,-0.325,True,
lose,-1.0,-1.0,-1.0,-0.425,True,
loss,-1.0,-1.0,-1.0,-0.325,True,
losses,-0.7125,-0.7125,-1.0,-0.425,True,
lost,-1.0,-1.0,-1.0,-0.325,True,
loud,-1.0,-1.0,-1.0,-1.0,True,
louder,-1.0,-1.0,-1.0,-1.0,True,
love,1.0,1.0,1.0,0.8,True,
loved,0.8625,0.8625,1.0,0.725,True,
loves,0.8375,0.8375,1.0,0.675,True,
loving,0.8625,0.8625,1.0,0.725,True,
low,-1.0,-1.0,-0.7583333333333333,-0.275,True,
lower,-0.3,-0.3,-0.3,-0.3,True,
loyal,1.0,1.0,1.0,0.525,True,
luck,1.0,1.0,1.0,0.5,True,
luxury,1.0,1.0,1.0,1.0,True,
magnetic,1.0,1.0,1.0,1.0,True,
major,0.0,0.0,0.0,0.0,True,
massive,0.0,0.0,0.0,0.0,True,
masterpiece,1.0,1.0,1.0,0.775,True,
matte,-1.0,-1.0,-1.0,-1.0,True,
matter,0.0,0.0,0.008333333333333333,0.025,True,
matters,0.025,0.025,0.025,0.025,True,
maybe,0.0,0.0,0.0,0.0,True,
mean,-0.5,-0.5,-0.5,-0.5,True,
meh,-0.075,-0.075,-0.075,-0.075,True,
mere,-1.0,-1.0,-1.0,-1.0,True,
messy,-1.0,-1.0,-1.0,-0.375,True,
might,0.5,0.5,0.5,0.5,True,
mild,1.0,1.0,1.0,1.0,True,
mind,-1.0,-1.0,-1.0,-1.0,True,
minor,0.0,0.0,0.0,0.0,True,
miscellaneous,-1.0,-1.0,-1.0,-1.0,True,
mistake,-1.0,-1.0,-1.0,-0.35,True,
modern,1.0,1.0,1.0,1.0,True,
moon,-1.0,-1.0,-1.0,-1.0,True,
most,0.0,0.0,0.0,0.0,True,
mostly,0.0,0.0,0.0,0.0,True,
move,0.0,0.0,0.0,0.0,True,
moving,1.0,1.0,1.0,1.0,True,
much,0.0,0.0,0.0,0.0,True,
must,0.0,0.0,0.0,0.0,True,
nasty,-1.0,-1.0,-1.0,-0.65,True,
nature,0.0,0.0,0.0,0.0,True,
necessary,1.0,1.0,1.0,1.0,True,
need,-0.5,-0.5,-0.5,-0.5,True,
needless,-1.0,-1.0,-1.0,-1.0,True,
needs,0.0,0.0,0.0,0.0,True,
negative,-1.0,-1.0,-1.0,-0.675,True,
negligible,-1.0,-1.0,-1.0,-1.0,True,
nervous,-1.0,-1.0,-1.0,-0.275,True,
nice,1.0,1.0,1.0,0.45,True,
nicely,1.0,1.0,1.0,0.475,True,
nicest,0.775,0.775,1.0,0.55,True,
nightmare,-1.0,-1.0,-1.0,-1.0,True,
no,-0.3,-0.3,-0.3,-0.3,True,
noise,-1.0,-1.0,-1.0,-1.0,True,
noises,-1.0,-1.0,-1.0,-1.0,True,
noisy,-1.0,-1.0,-1.0,-0.175,True,
normal,1.0,1.0,1.0,1.0,True,
nuisance,-1.0,-1.0,-1.0,-1.0,True,
number,0.075,0.075,0.075,0.075,True,
objection,-1.0,-1.0,-1.0,-1.0,True,
obsessed,-0.175,-0.175,-0.175,-0.175,True,
obtrusive,-1.0,-1.0,-1.0,-1.0,True,
obviously,-1.0,-1.0,-1.0,-1.0,True,
odd,-1.0,-1.0,-1.0,-0.325,True,
oddities,-1.0,-1.0,-1.0,-1.0,True,
offline,-0.125,-0.125,-0.125,-0.125,True,
oh,0.0,0.0,0.0,0.0,True,
ok,0.35,0.35,0.35,0.35,True,
open,1.0,1.0,1.0,1.0,True,
opinion,0.0,0.0,0.0,0.0,True,
opportunity,1.0,1.0,0.8166666666666668,0.45,True,
outstanding,1.0,1.0,1.0,0.75,True,
overcome,-1.0,-1.0,-1.0,-1.0,True,
pain,-1.0,-1.0,-1.0,-0.575,True,
painful,-1.0,-1.0,-1.0,-0.475,True,
painless,1.0,1.0,1.0,0.3,True,
particular,0.0,0.0,0.0,0.0,True,
particularly,0.0,0.0,0.0,0.0,True,
party,0.425,0.425,0.425,0.425,True,
pay,-0.1,-0.1,-0.1,-0.1,True,
perfect,1.0,1.0,1.0,0.675,True,
perfectly,1.0,1.0,1.0,0.8,True,
perhaps,0.0,0.0,0.0,0.0,True,
plain,1.0,1.0,1.0,1.0,True,
play,0.35,0.35,0.35,0.35,True,
played,0.35,0.35,0.35,0.35,True,
player,0.0,0.0,0.0,0.0,True,
playing,0.2,0.2,0.2,0.2,True,
plays,0.25,0.25,0.25,0.25,True,
pleasant,1.0,1.0,1.0,0.575,True,
pleasantly,1.0,1.0,1.0,0.525,True,
please,1.0,1.0,0.775,0.325,True,
pleased,1.0,1.0,1.0,0.475,True,
pleasing,1.0,1.0,1.0,0.6,True,
pleasure,1.0,1.0,1.0,0.675,True,
plenty,1.0,1.0,1.0,1.0,True,
pluses,1.0,1.0,1.0,1.0,True,
point,0.0,0.0,0.0,0.0,True,
poor,-1.0,-1.0,-1.0,-0.525,True,
poorly,-1.0,-1.0,-1.0,-1.0,True,
portable,1.0,1.0,1.0,1.0,True,
positive,1.0,1.0,1.0,0.65,True,
possible,0.0,0.0,0.0,0.0,True,
power,0.0,0.0,0.0,0.0,True,
powerful,1.0,1.0,1.0,0.45,True,
powerless,-1.0,-1.0,-1.0,-0.55,True,
practically,0.0,0.0,0.0,0.0,True,
pray,0.0,0.0,0.10833333333333334,0.325,True,
prefer,1.0,1.0,1.0,1.0,True,
premium,1.0,1.0,1.0,1.0,True,
