WORD,MPQA,OPENER,OL,VADER,ANNOTATION,RAW_AVG
anyway,0.0,0.0,0.0,0.0,0.0,0.0
anyways,0.0,0.0,0.0,0.0,0.0,0.0
apparently,0.0,0.0,0.0,0.0,0.0,0.0
appearance,0.0,0.0,0.0,0.0,0.0,0.0
appreciate,1.0,1.0,1.0,0.425,1.0,0.85625
approval,1.0,1.0,1.0,0.525,1.0,0.88125
aspire,1.0,1.0,1.0,1.0,1.0,1.0
assuring,0.7,0.7,1.0,0.4,1.0,0.7
astonishing,1.0,1.0,1.0,1.0,1.0,1.0
attachment,0.3,0.3,0.3,0.3,0.0,0.3
attest,1.0,1.0,1.0,1.0,1.0,1.0
attractive,1.0,1.0,1.0,0.475,1.0,0.86875
available,1.0,1.0,1.0,1.0,1.0,1.0
avid,1.0,1.0,1.0,0.3,1.0,0.825
avoid,-1.0,-1.0,-0.7666666666666666,-0.3,-1.0,-0.7666666666666666
aware,0.0,0.0,0.0,0.0,0.0,0.0
awe,1.0,1.0,1.0,1.0,1.0,1.0
awesome,1.0,1.0,1.0,0.775,1.0,0.94375
awful,-1.0,-1.0,-1.0,-0.5,-1.0,-0.875
baby,0.0,0.0,0.0,0.0,0.0,0.0
back,1.0,1.0,1.0,1.0,0.0,1.0
bad,-1.0,-1.0,-1.0,-0.625,-1.0,-0.90625
barely,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
bargain,1.0,1.0,1.0,0.2,1.0,0.8
basic,1.0,1.0,1.0,1.0,0.0,1.0
beast,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
beautiful,1.0,1.0,1.0,0.725,1.0,0.93125
beautifully,1.0,1.0,1.0,0.675,1.0,0.91875
beauty,1.0,1.0,1.0,0.7,1.0,0.925
believe,0.0,0.0,0.0,0.0,0.0,0.0
benefits,1.0,1.0,1.0,0.4,1.0,0.85
besides,0.0,0.0,0.0,0.0,0.0,0.0
best,1.0,1.0,1.0,0.8,1.0,0.95
better,1.0,1.0,1.0,0.475,1.0,0.86875
beware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
big,0.0,0.0,0.0,0.0,0.0,0.0
black,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
blame,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
block,-1.0,-1.0,-0.8250000000000001,-0.475,0.0,-0.8250000000000001
bloody,-1.0,-1.0,-1.0,-0.475,-1.0,-0.86875
bonus,1.0,1.0,1.0,0.625,1.0,0.90625
bother,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
break,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
breaking,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
breaks,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
bright,1.0,1.0,1.0,0.475,1.0,0.86875
brightness,1.0,1.0,0.7999999999999999,0.4,0.0,0.7999999999999999
broad,1.0,1.0,1.0,1.0,0.0,1.0
broke,-1.0,-1.0,-1.0,-0.45,-1.0,-0.8625
broken,-0.7625,-0.7625,-1.0,-0.525,-1.0,-0.7625
bug,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
bummer,-0.4,-0.4,-0.4,-0.4,-1.0,-0.4
bumping,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
burn,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
burned,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
burning,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cancel,-0.25,-0.25,-0.25,-0.25,-1.0,-0.25
capable,1.0,1.0,1.0,0.4,1.0,0.85
care,1.0,1.0,0.85,0.55,-1.0,0.8500000000000001
cared,0.45,0.45,0.45,0.45,0.0,0.45
careful,1.0,1.0,0.7166666666666667,0.15,-1.0,0.7166666666666667
casual,0.2,0.2,0.2,0.2,0.0,0.2
certain,0.0,0.0,0.09166666666666667,0.275,0.0,0.09166666666666667
certainly,0.0,0.0,0.11666666666666665,0.35,0.0,0.11666666666666665
challenge,-1.0,-1.0,-0.6416666666666667,0.075,0.0,-0.6416666666666666
champion,1.0,1.0,1.0,0.725,1.0,0.93125
chance,0.25,0.25,0.25,0.25,0.0,0.25
charged,-0.2,-0.2,-0.2,-0.2,0.0,-0.2
charges,-0.275,-0.275,-0.275,-0.275,0.0,-0.275
charm,1.0,1.0,1.0,0.425,1.0,0.85625
cheap,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
cheaper,1.0,1.0,1.0,1.0,0.0,1.0
cheapest,1.0,1.0,1.0,1.0,0.0,1.0
cheaply,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
claim,0.0,0.0,0.0,0.0,0.0,0.0
clarity,1.0,1.0,1.0,0.425,0.0,0.85625
clean,1.0,1.0,1.0,0.425,1.0,0.85625
clear,1.0,1.0,1.0,0.4,1.0,0.85
close,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
cloud,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
clunky,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
comfortable,1.0,1.0,1.0,0.575,1.0,0.89375
comment,0.0,0.0,0.0,0.0,0.0,0.0
compact,1.0,1.0,1.0,1.0,1.0,1.0
compatible,1.0,1.0,1.0,1.0,1.0,1.0
complain,-1.0,-1.0,-1.0,-0.375,-1.0,-0.84375
complaining,-1.0,-1.0,-1.0,-0.2,-1.0,-0.8
complains,-0.7,-0.7,-1.0,-0.4,-1.0,-0.7
complaint,-1.0,-1.0,-1.0,-0.3,-1.0,-0.825
complaints,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
complete,0.0,0.0,0.0,0.0,0.0,0.0
completely,0.0,0.0,0.0,0.0,0.0,0.0
complicated,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
compliments,0.425,0.425,0.425,0.425,1.0,0.425
concern,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
concerned,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
confident,1.0,1.0,1.0,0.55,1.0,0.8875
cons,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
consider,0.0,0.0,0.0,0.0,0.0,0.0
continuous,0.0,0.0,0.0,0.0,0.0,0.0
convenient,1.0,1.0,1.0,1.0,1.0,1.0
cool,0.6625,0.6625,1.0,0.325,1.0,0.6625000000000001
correct,1.0,1.0,1.0,1.0,1.0,1.0
correctly,1.0,1.0,1.0,1.0,1.0,1.0
cost-effective,1.0,1.0,1.0,1.0,1.0,1.0
could,0.0,0.0,0.0,0.0,0.0,0.0
crack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
crap,-0.7,-0.7,-1.0,-0.4,-1.0,-0.7
crash,-0.7125,-0.7125,-1.0,-0.425,-1.0,-0.7124999999999999
crashed,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
crashes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
crashing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
crazy,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
create,0.275,0.275,0.275,0.275,0.0,0.275
created,0.25,0.25,0.25,0.25,0.0,0.25
creativity,0.4,0.4,0.4,0.4,0.0,0.4
credit,0.4,0.4,0.4,0.4,1.0,0.4
crisp,1.0,1.0,1.0,1.0,1.0,1.0
critical,-1.0,-1.0,-1.0,-0.325,-1.0,-0.83125
cut,-1.0,-1.0,-0.7583333333333333,-0.275,0.0,-0.7583333333333333
cutting,-0.125,-0.125,-0.125,-0.125,0.0,-0.125
damaged,-0.7375,-0.7375,-1.0,-0.475,-1.0,-0.7375
damn,-1.0,-1.0,-1.0,-0.425,0.0,-0.85625
dangerous,-1.0,-1.0,-1.0,-0.525,-1.0,-0.88125
dark,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
darker,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dead,-1.0,-1.0,-1.0,-0.825,-1.0,-0.95625
deal,1.0,1.0,1.0,1.0,0.0,1.0
death,-1.0,-1.0,-1.0,-0.725,-1.0,-0.93125
decent,1.0,1.0,1.0,1.0,1.0,1.0
decrease,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dedicated,1.0,1.0,1.0,0.5,1.0,0.875
defeats,0.3375,0.3375,1.0,-0.325,-1.0,0.3375
defect,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
defective,-1.0,-1.0,-1.0,-0.475,-1.0,-0.86875
definitely,1.0,1.0,0.8083333333333332,0.425,0.0,0.8083333333333332
delay,-0.6625,-0.6625,-1.0,-0.325,-1.0,-0.6625000000000001
denied,-0.7375,-0.7375,-1.0,-0.475,-1.0,-0.7375
desired,0.275,0.275,0.275,0.275,1.0,0.275
despite,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
die,-0.8625,-0.8625,-1.0,-0.725,-1.0,-0.8625
died,-0.825,-0.825,-1.0,-0.65,-1.0,-0.825
dies,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
difference,0.0,0.0,0.0,0.0,0.0,0.0
difficult,-1.0,-1.0,-1.0,-0.375,-1.0,-0.84375
difficulties,-1.0,-1.0,-1.0,-0.3,-1.0,-0.825
difficulty,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
diminish,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dirty,-1.0,-1.0,-1.0,-0.475,-1.0,-0.86875
disappoint,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
disappointed,-1.0,-1.0,-1.0,-0.525,-1.0,-0.88125
disappointing,-1.0,-1.0,-1.0,-0.55,-1.0,-0.8875
disappointment,-1.0,-1.0,-1.0,-0.575,-1.0,-0.89375
disappointments,-0.75,-0.75,-1.0,-0.5,-1.0,-0.75
discontinued,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dislike,-1.0,-1.0,-1.0,-0.4,-1.0,-0.85
dissappointed,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dissatisfied,-1.0,-1.0,-1.0,-0.4,-1.0,-0.85
doa,-0.575,-0.575,-0.575,-0.575,-1.0,-0.575
doubt,-1.0,-1.0,-1.0,-0.375,-1.0,-0.84375
down,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
downfall,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
downside,-1.0,-1.0,-1.0,-0.25,-1.0,-0.8125
drawback,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drive,1.0,1.0,1.0,1.0,0.0,1.0
drop,-0.275,-0.275,-0.275,-0.275,-1.0,-0.275
drown,-0.675,-0.675,-0.675,-0.675,-1.0,-0.675
dud,-1.0,-1.0,-1.0,-0.25,-1.0,-0.8125
dump,-1.0,-1.0,-1.0,-0.4,-1.0,-0.85
durability,1.0,1.0,1.0,1.0,0.0,1.0
durable,1.0,1.0,1.0,1.0,1.0,1.0
dust,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
duty,0.0,0.0,0.0,0.0,0.0,0.0
ease,1.0,1.0,1.0,0.375,1.0,0.84375
easier,1.0,1.0,1.0,0.45,1.0,0.8625
easiest,1.0,1.0,1.0,0.45,1.0,0.8625
easily,1.0,1.0,0.7833333333333333,0.35,1.0,0.7833333333333333
easy,1.0,1.0,1.0,0.475,1.0,0.86875
edgy,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
effective,1.0,1.0,1.0,0.525,1.0,0.88125
efficient,1.0,1.0,1.0,0.45,1.0,0.8625
effin,-0.575,-0.575,-0.575,-0.575,-1.0,-0.575
elegant,1.0,1.0,1.0,0.525,1.0,0.88125
else,0.0,0.0,0.0,0.0,0.0,0.0
enable,1.0,1.0,1.0,1.0,0.0,1.0
encourage,1.0,1.0,1.0,0.575,1.0,0.89375
enemies,-1.0,-1.0,-1.0,-0.55,-1.0,-0.8875
energy,0.275,0.275,0.275,0.275,0.0,0.275
enjoy,1.0,1.0,1.0,0.55,1.0,0.8875
enjoyable,1.0,1.0,1.0,0.475,1.0,0.86875
enjoyed,0.7875,0.7875,1.0,0.575,1.0,0.7875000000000001
enjoying,0.8,0.8,1.0,0.6,1.0,0.8
enough,0.0,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
enraged,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
entertained,0.425,0.425,0.425,0.425,1.0,0.425
entire,0.0,0.0,0.0,0.0,0.0,0.0
envy,-1.0,-1.0,1.0,-0.275,-1.0,-0.31875
error,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
errors,-0.675,-0.675,-1.0,-0.35,-1.0,-0.675
especially,1.0,1.0,1.0,1.0,0.0,1.0
essential,1.0,1.0,1.0,1.0,1.0,1.0
even,1.0,1.0,1.0,1.0,0.0,1.0
exact,0.0,0.0,0.0,0.0,0.0,0.0
exactly,0.0,0.0,0.0,0.0,0.0,0.0
exaggeration,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
exceeded,1.0,1.0,1.0,1.0,1.0,1.0
excel,1.0,1.0,1.0,0.5,0.0,0.875
excelent,1.0,1.0,1.0,1.0,1.0,1.0
excellent,1.0,1.0,1.0,0.675,1.0,0.91875
exceptional,1.0,1.0,1.0,1.0,1.0,1.0
excited,1.0,1.0,1.0,0.35,1.0,0.8375
excuses,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
exhaust,-1.0,-1.0,-1.0,-0.3,0.0,-0.825
expectation,0.0,0.0,0.0,0.0,0.0,0.0
expensive,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
expired,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
exposed,-1.0,-1.0,-0.6916666666666668,-0.075,-1.0,-0.6916666666666668
extend,0.175,0.175,0.175,0.175,0.0,0.175
extremely,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
fabulous,1.0,1.0,1.0,0.6,1.0,0.9
fact,0.0,0.0,0.0,0.0,0.0,0.0
fail,-1.0,-1.0,-1.0,-0.625,-1.0,-0.90625
failed,-0.7875,-0.7875,-1.0,-0.575,-1.0,-0.7875000000000001
failing,-1.0,-1.0,-1.0,-0.575,-1.0,-0.89375
fails,-0.725,-0.725,-1.0,-0.45,-1.0,-0.7250000000000001
fairly,1.0,1.0,1.0,1.0,0.0,1.0
fall,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
falling,-0.575,-0.575,-1.0,-0.15,-1.0,-0.575
fallout,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
familiar,0.0,0.0,0.0,0.0,0.0,0.0
fan,0.325,0.325,0.325,0.325,0.0,0.325
fancy,1.0,1.0,1.0,1.0,1.0,1.0
fantastic,1.0,1.0,1.0,0.65,1.0,0.9125
fast,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
faster,1.0,1.0,1.0,1.0,1.0,1.0
fault,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
faulty,-1.0,-1.0,-1.0,-0.325,-1.0,-0.83125
favor,1.0,1.0,1.0,0.425,1.0,0.85625
favorite,1.0,1.0,1.0,0.5,1.0,0.875
feel,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0,0.0,0.04166666666666666,0.125,0.0,0.041666666666666664
feels,0.0,0.0,0.0,0.0,0.0,0.0
fell,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
felt,0.0,0.0,0.0,0.0,0.0,0.0
fighting,-0.375,-0.375,-0.375,-0.375,0.0,-0.375
finally,0.0,0.0,0.0,0.0,0.0,0.0
fine,0.0,0.0,1.0,0.2,1.0,0.3
fire,-0.35,-0.35,-0.35,-0.35,-1.0,-0.35
fired,-0.65,-0.65,-0.65,-0.65,0.0,-0.65
firmly,0.0,0.0,0.0,0.0,0.0,0.0
fit,1.0,1.0,0.7916666666666666,0.375,1.0,0.7916666666666666
flash,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
flawlessly,1.0,1.0,1.0,0.2,1.0,0.8
flaws,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
focused,0.4,0.4,0.4,0.4,0.0,0.4
fool,-1.0,-1.0,-1.0,-0.475,-1.0,-0.86875
force,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
forced,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5
forget,-1.0,-1.0,-0.7416666666666667,-0.225,0.0,-0.7416666666666667
forgivable,0.425,0.425,0.425,0.425,1.0,0.425
fortunately,1.0,1.0,1.0,1.0,1.0,1.0
fragile,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
freaking,-0.725,-0.725,-1.0,-0.45,-1.0,-0.7250000000000001
free,1.0,1.0,1.0,0.575,1.0,0.89375
freeze,-0.475,-0.475,-1.0,0.05,-1.0,-0.475
freezes,-0.5125,-0.5125,-1.0,-0.025,-1.0,-0.5125
freezing,-0.55,-0.55,-1.0,-0.1,-1.0,-0.55
fresh,1.0,1.0,1.0,0.325,1.0,0.83125
friction,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
friend,1.0,1.0,0.85,0.55,1.0,0.8500000000000001
friendly,1.0,1.0,1.0,0.55,1.0,0.8875
friends,1.0,1.0,0.8416666666666667,0.525,1.0,0.8416666666666667
froze,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
frustrated,-1.0,-1.0,-1.0,-0.6,-1.0,-0.9
frustrating,-1.0,-1.0,-1.0,-0.475,-1.0,-0.86875
full,0.0,0.0,0.0,0.0,0.0,0.0
fully,0.0,0.0,0.0,0.0,0.0,0.0
fun,0.0,0.0,1.0,0.575,1.0,0.39375
functional,1.0,1.0,1.0,1.0,1.0,1.0
funny,1.0,1.0,-1.0,0.475,1.0,0.36875
fuss,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
game,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
geek,-0.2,-0.2,-0.2,-0.2,0.0,-0.2
generous,1.0,1.0,1.0,0.575,1.0,0.89375
genius,1.0,1.0,1.0,1.0,1.0,1.0
gestures,0.0,0.0,0.0,0.0,0.0,0.0
giant,0.0,0.0,0.0,0.0,0.0,0.0
giddy,1.0,1.0,-1.0,-0.15,1.0,0.2125
gift,0.475,0.475,0.475,0.475,0.0,0.475
giving,0.35,0.35,0.35,0.35,0.0,0.35
glad,1.0,1.0,1.0,0.5,1.0,0.875
gladly,1.0,1.0,1.0,0.35,1.0,0.8375
glare,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
glossy,1.0,1.0,1.0,1.0,-1.0,1.0
good,1.0,1.0,1.0,0.475,1.0,0.86875
gorgeous,1.0,1.0,1.0,0.75,1.0,0.9375
granted,0.25,0.25,0.25,0.25,0.0,0.25
great,1.0,1.0,1.0,0.775,1.0,0.94375
greatest,1.0,1.0,1.0,0.8,1.0,0.95
guarantee,1.0,1.0,1.0,0.25,1.0,0.8125
hack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
hacked,-0.425,-0.425,-0.425,-0.425,-1.0,-0.425
hand,0.55,0.55,0.55,0.55,0.0,0.55
handy,1.0,1.0,1.0,1.0,1.0,1.0
hangs,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
happier,0.8,0.8,1.0,0.6,1.0,0.8
happy,1.0,1.0,1.0,0.675,1.0,0.91875
hard,-1.0,-1.0,-1.0,-0.1,-1.0,-0.775
hardly,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
hassle,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
hate,-1.0,-1.0,-1.0,-0.675,-1.0,-0.91875
hated,-0.9,-0.9,-1.0,-0.8,-1.0,-0.8999999999999999
hateful,-1.0,-1.0,-1.0,-0.55,-1.0,-0.8875
headache,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
headaches,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
heartily,1.0,1.0,1.0,1.0,1.0,1.0
heck,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
help,1.0,1.0,0.8083333333333332,0.425,1.0,0.8083333333333332
helped,1.0,1.0,1.0,1.0,1.0,1.0
helpful,1.0,1.0,1.0,0.45,1.0,0.8625
helping,0.65,0.65,1.0,0.3,1.0,0.6499999999999999
helps,0.4,0.4,0.4,0.4,1.0,0.4
hesitate,-0.275,-0.275,-0.275,-0.275,-1.0,-0.275
hide,-0.175,-0.175,-0.175,-0.175,-1.0,-0.175
high,0.0,0.0,0.0,0.0,0.0,0.0
hollow,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
honest,1.0,1.0,1.0,0.575,1.0,0.89375
honestly,1.0,1.0,0.8333333333333334,0.5,1.0,0.8333333333333334
hope,1.0,1.0,0.8250000000000001,0.475,1.0,0.8250000000000001
hoped,0.4,0.4,0.4,0.4,0.0,0.4
hoping,0.45,0.45,0.45,0.45,0.0,0.45
horrible,-1.0,-1.0,-1.0,-0.625,-1.0,-0.90625
hot,1.0,1.0,1.0,1.0,-1.0,1.0
however,0.0,0.0,0.0,0.0,0.0,0.0
huge,0.0,0.0,0.10833333333333334,0.325,0.0,0.10833333333333334
hung,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
hurt,-1.0,-1.0,-1.0,-0.6,-1.0,-0.9
idea,0.0,0.0,0.0,0.0,0.0,0.0
ideal,1.0,1.0,1.0,0.6,1.0,0.9
idiots,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
idk,-0.1,-0.1,-0.1,-0.1,-1.0,-0.1
ignorant,-1.0,-1.0,-1.0,-0.275,-1.0,-0.81875
imagine,0.0,0.0,0.0,0.0,0.0,0.0
immediate,0.0,0.0,0.0,0.0,0.0,0.0
immediately,0.0,0.0,0.0,0.0,0.0,0.0
implore,0.0,0.0,0.0,0.0,0.0,0.0
important,1.0,1.0,1.0,0.2,1.0,0.8
impossible,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
impressed,0.7625,0.7625,1.0,0.525,1.0,0.7625
impressions,1.0,1.0,0.7416666666666667,0.225,0.0,0.7416666666666667
impressive,1.0,1.0,1.0,0.575,1.0,0.89375
impressively,1.0,1.0,1.0,0.5,1.0,0.875
improvement,1.0,1.0,1.0,0.5,1.0,0.875
improvements,0.6625,0.6625,1.0,0.325,1.0,0.6625000000000001
improving,1.0,1.0,1.0,0.45,1.0,0.8625
incompatible,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
inconvenience,-1.0,-1.0,-1.0,-0.375,-1.0,-0.84375
incorrect,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
increase,0.325,0.325,0.325,0.325,1.0,0.325
incredible,1.0,1.0,1.0,1.0,1.0,1.0
incredibly,1.0,1.0,1.0,1.0,1.0,1.0
indeed,0.0,0.0,0.0,0.0,0.0,0.0
indication,0.0,0.0,0.0,0.0,0.0,0.0
inept,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
inevitably,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
inexpensive,1.0,1.0,1.0,1.0,1.0,1.0
influence,0.0,0.0,0.0,0.0,0.0,0.0
inherent,0.0,0.0,0.0,0.0,0.0,0.0
innovation,1.0,1.0,1.0,0.4,1.0,0.85
insane,-1.0,-1.0,-1.0,-0.425,1.0,-0.85625
insanity,-1.0,-1.0,-1.0,-0.675,-1.0,-0.91875
instantly,1.0,1.0,1.0,1.0,0.0,1.0
integral,1.0,1.0,1.0,1.0,1.0,1.0
interest,1.0,1.0,0.8333333333333334,0.5,1.0,0.8333333333333334
interested,1.0,1.0,0.8083333333333332,0.425,1.0,0.8083333333333332
interesting,1.0,1.0,1.0,0.425,1.0,0.85625
intuitive,1.0,1.0,1.0,1.0,1.0,1.0
invalidate,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
isolation,-1.0,-1.0,-1.0,-0.425,0.0,-0.85625
isolator,-0.1,-0.1,-0.1,-0.1,0.0,-0.1
issue,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
issues,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
joke,1.0,1.0,-1.0,0.3,-1.0,0.325
joy,1.0,1.0,1.0,0.7,1.0,0.925
joystick,0.175,0.175,0.175,0.175,0.0,0.175
junk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
just,1.0,1.0,1.0,1.0,0.0,1.0
key,0.0,0.0,0.0,0.0,0.0,0.0
kidding,0.1,0.1,0.1,0.1,0.0,0.1
killer,-1.0,-1.0,-1.0,-0.825,1.0,-0.95625
kind,1.0,1.0,0.8666666666666667,0.6,0.0,0.8666666666666667
knew,0.0,0.0,0.0,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,0.0
lack,-1.0,-1.0,-1.0,-0.325,-1.0,-0.83125
lacking,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
lag,-1.0,-1.0,-1.0,-0.35,-1.0,-0.8375
lags,-0.6875,-0.6875,-1.0,-0.375,-1.0,-0.6875
lame,-1.0,-1.0,-1.0,-0.45,-1.0,-0.8625
large,0.5,0.5,0.5,0.5,0.0,0.5
leading,1.0,1.0,1.0,1.0,1.0,1.0
learn,0.0,0.0,0.0,0.0,0.0,0.0
learned,1.0,1.0,1.0,1.0,0.0,1.0
learning,1.0,1.0,1.0,1.0,0.0,1.0
least,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
led,1.0,1.0,1.0,1.0,0.0,1.0
lemon,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
less,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
lie,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
light,1.0,1.0,1.0,1.0,1.0,1.0
lighter,1.0,1.0,1.0,1.0,1.0,1.0
like,1.0,1.0,1.0,0.375,1.0,0.84375
liked,0.725,0.725,1.0,0.45,1.0,0.7250000000000001
likely,0.0,0.0,0.0,0.0,0.0,0.0
likes,0.725,0.725,1.0,0.45,1.0,0.7250000000000001
liking,1.0,1.0,1.0,0.425,0.0,0.85625
