WORD,MPQA,OPENER,OL,VADER,DALX
:[,-0.5,-0.5,-0.5,-0.5,
:\,-0.325,-0.325,-0.325,-0.325,
:],0.55,0.55,0.55,0.55,
:^),0.525,0.525,0.525,0.525,
:^*,0.65,0.65,0.65,0.65,
:^/,-0.3,-0.3,-0.3,-0.3,
:^\,-0.25,-0.25,-0.25,-0.25,
:^|,-0.25,-0.25,-0.25,-0.25,
:c,-0.525,-0.525,-0.525,-0.525,
:c),0.5,0.5,0.5,0.5,
:d,0.575,0.575,0.575,0.575,
:l,-0.425,-0.425,-0.425,-0.425,
:o,-0.1,-0.1,-0.1,-0.1,
:o),0.525,0.525,0.525,0.525,
:o/,-0.35,-0.35,-0.35,-0.35,
:o\,-0.275,-0.275,-0.275,-0.275,
:o|,-0.15,-0.15,-0.15,-0.15,
:p,0.25,0.25,0.25,0.25,
:s,-0.3,-0.3,-0.3,-0.3,
:{,-0.475,-0.475,-0.475,-0.475,
:|,-0.1,-0.1,-0.1,-0.1,
:},0.525,0.525,0.525,0.525,
:Þ,0.275,0.275,0.275,0.275,
;),0.225,0.225,0.225,0.225,
;-),0.25,0.25,0.25,0.25,
;-*,0.55,0.55,0.55,0.55,
;-],0.175,0.175,0.175,0.175,
;D,0.2,0.2,0.2,0.2,
;],0.15,0.15,0.15,0.15,
;^),0.35,0.35,0.35,0.35,
;d,0.2,0.2,0.2,0.2,
</3,-0.75,-0.75,-0.75,-0.75,
<3,0.475,0.475,0.475,0.475,
<:,0.525,0.525,0.525,0.525,
<:-|,-0.35,-0.35,-0.35,-0.35,
=),0.55,0.55,0.55,0.55,
=-3,0.5,0.5,0.5,0.5,
=-D,1.0,1.0,1.0,1.0,1.0
=-d,0.6,0.6,0.6,0.6,
=/,-1.0,-1.0,-1.0,-1.0,-1.0
=3,1.0,1.0,1.0,1.0,1.0
=D,1.0,1.0,1.0,1.0,1.0
=\,-1.0,-1.0,-1.0,-1.0,-1.0
=],0.4,0.4,0.4,0.4,
=d,1.0,1.0,1.0,1.0,1.0
=l,-0.3,-0.3,-0.3,-0.3,
=p,0.325,0.325,0.325,0.325,
=|,-1.0,-1.0,-1.0,-1.0,-1.0
>-:,-0.5,-0.5,-0.5,-0.5,
>.<,-0.325,-0.325,-0.325,-0.325,
>:,-0.525,-0.525,-0.525,-0.525,
>:(,-0.675,-0.675,-0.675,-0.675,
>:),0.1,0.1,0.1,0.1,
>:-(,-0.675,-0.675,-0.675,-0.675,
>:-),-0.1,-0.1,-0.1,-0.1,
>:/,-0.4,-0.4,-0.4,-0.4,
>:[,-0.525,-0.525,-0.525,-0.525,
>:\,-0.425,-0.425,-0.425,-0.425,
>:o,-0.3,-0.3,-0.3,-0.3,
>:p,0.25,0.25,0.25,0.25,
>;(,-0.725,-0.725,-0.725,-0.725,
>;),0.025,0.025,0.025,0.025,
>_>^,0.525,0.525,0.525,0.525,
@:,-0.525,-0.525,-0.525,-0.525,
@>-->--,0.525,0.525,0.525,0.525,
@}-;-'---,0.55,0.55,0.55,0.55,
O.o,-1.0,-1.0,-1.0,-1.0,-1.0
O_o,-1.0,-1.0,-1.0,-1.0,-1.0
[-;,0.125,0.125,0.125,0.125,
[:,0.325,0.325,0.325,0.325,
[;,0.25,0.25,0.25,0.25,
[=,0.425,0.425,0.425,0.425,
\-:,-0.25,-0.25,-0.25,-0.25,
\:,-0.25,-0.25,-0.25,-0.25,
\:<,-0.425,-0.425,-0.425,-0.425,
\=,-0.275,-0.275,-0.275,-0.275,
\^:,-0.325,-0.325,-0.325,-0.325,
\o/,0.55,0.55,0.55,0.55,
\o:,-0.3,-0.3,-0.3,-0.3,
]-:,-0.525,-0.525,-0.525,-0.525,
]:,-0.4,-0.4,-0.4,-0.4,
]:<,-0.625,-0.625,-0.625,-0.625,
^<_<,0.35,0.35,0.35,0.35,
^urs,-0.7,-0.7,-0.7,-0.7,
a+,1.0,1.0,1.0,1.0,1.0
aas,0.625,0.625,0.625,0.625,
aayf,0.675,0.675,0.675,0.675,
abandon,-1.0,-1.0,-1.0,-1.0,-1.0
abandoned,-1.0,-1.0,-1.0,-1.0,-1.0
abandoner,-0.475,-0.475,-0.475,-0.475,
abandoners,-0.475,-0.475,-0.475,-0.475,
abandoning,-1.0,-1.0,-1.0,-1.0,-1.0
abandonment,-1.0,-1.0,-1.0,-1.0,-1.0
abandonments,-0.425,-0.425,-0.425,-0.425,
abandons,-0.325,-0.325,-0.325,-0.325,
abase,-1.0,-1.0,-1.0,-1.0,
abasement,-1.0,-1.0,-1.0,-1.0,
abash,-1.0,-1.0,-1.0,-1.0,
abate,-1.0,-1.0,-1.0,-1.0,-1.0
abdicate,-1.0,-1.0,-1.0,-1.0,
abducted,-1.0,-1.0,-1.0,-1.0,-1.0
abduction,-1.0,-1.0,-1.0,-1.0,-1.0
abductions,-0.5,-0.5,-0.5,-0.5,
aberration,-1.0,-1.0,-1.0,-1.0,-1.0
abhor,-1.0,-1.0,-1.0,-1.0,-1.0
abhorred,-1.0,-1.0,-1.0,-1.0,-1.0
abhorrence,-1.0,-1.0,-1.0,-1.0,
abhorrent,-1.0,-1.0,-1.0,-1.0,-1.0
abhorrently,-1.0,-1.0,-1.0,-1.0,-1.0
abhors,-1.0,-1.0,-0.9083333333333332,-0.725,
abidance,1.0,1.0,1.0,1.0,1.0
abide,-1.0,-1.0,-1.0,-1.0,-1.0
abilities,1.0,1.0,1.0,1.0,1.0
ability,1.0,1.0,1.0,1.0,1.0
abject,-1.0,-1.0,-1.0,-1.0,-1.0
abjectly,-1.0,-1.0,-1.0,-1.0,-1.0
abjure,-1.0,-1.0,-1.0,-1.0,
able,1.0,1.0,1.0,1.0,1.0
abnormal,-1.0,-1.0,-1.0,-1.0,-1.0
aboard,1.0,1.0,1.0,1.0,1.0
abolish,-1.0,-1.0,-1.0,-1.0,-1.0
abominable,-1.0,-1.0,-1.0,-1.0,-1.0
abominably,-1.0,-1.0,-1.0,-1.0,-1.0
abominate,-1.0,-1.0,-1.0,-1.0,
abomination,-1.0,-1.0,-1.0,-1.0,-1.0
abort,-1.0,-1.0,-1.0,-1.0,-1.0
aborted,-1.0,-1.0,-1.0,-1.0,-1.0
aborts,-1.0,-1.0,-1.0,-1.0,
abound,1.0,1.0,1.0,1.0,
abounds,1.0,1.0,1.0,1.0,
above,1.0,1.0,1.0,1.0,
above-average,1.0,1.0,1.0,1.0,1.0
abrade,-1.0,-1.0,-1.0,-1.0,
abrasive,-1.0,-1.0,-1.0,-1.0,-1.0
abrupt,-1.0,-1.0,-1.0,-1.0,-1.0
abruptly,-1.0,-1.0,-1.0,-1.0,-1.0
abscond,-1.0,-1.0,-1.0,-1.0,-1.0
absence,-1.0,-1.0,-1.0,-1.0,-1.0
absent-minded,-1.0,-1.0,-1.0,-1.0,-1.0
absentee,-1.0,-1.0,-1.0,-1.0,-1.0
absentees,-0.2,-0.2,-0.2,-0.2,
absolute,0.0,0.0,0.0,0.0,
absolutely,1.0,1.0,1.0,1.0,1.0
absolve,-1.0,-1.0,-1.0,-1.0,-1.0
absolved,-1.0,-1.0,-1.0,-1.0,-1.0
absolves,-1.0,-1.0,-1.0,-1.0,-1.0
absolving,-1.0,-1.0,-1.0,-1.0,-1.0
absorbed,0.0,0.0,0.0,0.0,
absurd,-1.0,-1.0,-1.0,-1.0,-1.0
absurdity,-1.0,-1.0,-1.0,-1.0,-1.0
absurdly,-1.0,-1.0,-1.0,-1.0,-1.0
absurdness,-1.0,-1.0,-1.0,-1.0,
abundance,1.0,1.0,1.0,1.0,
abundant,1.0,1.0,1.0,1.0,1.0
abuse,-1.0,-1.0,-1.0,-1.0,-1.0
abused,-1.0,-1.0,-1.0,-1.0,-1.0
abuser,-1.0,-1.0,-1.0,-1.0,-1.0
abusers,-1.0,-1.0,-1.0,-1.0,-1.0
abuses,-1.0,-1.0,-1.0,-1.0,-1.0
abusing,-1.0,-1.0,-1.0,-1.0,-1.0
abusive,-1.0,-1.0,-1.0,-1.0,-1.0
abusively,-1.0,-1.0,-1.0,-1.0,-1.0
abusiveness,-0.625,-0.625,-0.625,-0.625,
abusivenesses,-0.75,-0.75,-0.75,-0.75,
abysmal,-1.0,-1.0,-1.0,-1.0,-1.0
abysmally,-1.0,-1.0,-1.0,-1.0,-1.0
abyss,-1.0,-1.0,-1.0,-1.0,-1.0
accede,1.0,1.0,1.0,1.0,
accentuate,1.0,1.0,1.0,1.0,1.0
accept,-1.0,-1.0,-1.0,-1.0,-1.0
acceptabilities,0.4,0.4,0.4,0.4,
acceptability,0.275,0.275,0.275,0.275,
acceptable,1.0,1.0,0.775,0.325,
acceptableness,0.325,0.325,0.325,0.325,
acceptably,0.375,0.375,0.375,0.375,
acceptance,1.0,1.0,0.8333333333333334,0.5,
acceptances,0.425,0.425,0.425,0.425,
acceptant,0.4,0.4,0.4,0.4,
acceptation,0.325,0.325,0.325,0.325,
acceptations,0.225,0.225,0.225,0.225,
accepted,0.275,0.275,0.275,0.275,
accepting,0.4,0.4,0.4,0.4,
accepts,1.0,1.0,1.0,1.0,1.0
accessable,1.0,1.0,1.0,1.0,1.0
accessible,1.0,1.0,1.0,1.0,1.0
accident,-1.0,-1.0,-1.0,-1.0,-1.0
accidental,-1.0,-1.0,-1.0,-1.0,-1.0
accidentally,-1.0,-1.0,-1.0,-1.0,-1.0
accidents,-1.0,-1.0,-1.0,-1.0,-1.0
acclaim,1.0,1.0,1.0,1.0,1.0
acclaimed,1.0,1.0,1.0,1.0,1.0
acclamation,1.0,1.0,1.0,1.0,
accolade,1.0,1.0,1.0,1.0,1.0
accolades,1.0,1.0,1.0,1.0,1.0
accommodative,1.0,1.0,1.0,1.0,1.0
accomodative,1.0,1.0,1.0,1.0,1.0
accomplish,1.0,1.0,1.0,1.0,1.0
accomplished,1.0,1.0,1.0,1.0,1.0
accomplishes,1.0,1.0,1.0,1.0,1.0
accomplishment,1.0,1.0,1.0,1.0,1.0
accomplishments,1.0,1.0,1.0,1.0,1.0
accord,1.0,1.0,1.0,1.0,
accordance,1.0,1.0,1.0,1.0,
accordantly,1.0,1.0,1.0,1.0,
accost,-1.0,-1.0,-1.0,-1.0,-1.0
accountable,-1.0,-1.0,-1.0,-1.0,
accurate,1.0,1.0,1.0,1.0,1.0
accurately,1.0,1.0,1.0,1.0,
accursed,-1.0,-1.0,-1.0,-1.0,-1.0
accusation,-1.0,-1.0,-1.0,-1.0,-1.0
accusations,-1.0,-1.0,-1.0,-1.0,-1.0
accuse,-1.0,-1.0,-1.0,-1.0,-1.0
accused,-1.0,-1.0,-1.0,-1.0,-1.0
accuses,-1.0,-1.0,-1.0,-1.0,-1.0
accusing,-1.0,-1.0,-1.0,-1.0,-1.0
accusingly,-1.0,-1.0,-1.0,-1.0,-1.0
acerbate,-1.0,-1.0,-1.0,-1.0,
acerbic,-1.0,-1.0,-1.0,-1.0,-1.0
acerbically,-1.0,-1.0,-1.0,-1.0,
ache,-1.0,-1.0,-1.0,-1.0,-1.0
ached,-1.0,-1.0,-1.0,-1.0,-1.0
aches,-1.0,-1.0,-1.0,-1.0,-1.0
achey,-1.0,-1.0,-1.0,-1.0,-1.0
achievable,1.0,1.0,1.0,1.0,1.0
achieve,1.0,1.0,1.0,1.0,1.0
achievement,1.0,1.0,1.0,1.0,1.0
achievements,1.0,1.0,1.0,1.0,1.0
achievible,1.0,1.0,1.0,1.0,
aching,-1.0,-1.0,-1.0,-1.0,-1.0
acknowledge,-1.0,-1.0,-1.0,-1.0,-1.0
acknowledgement,-1.0,-1.0,-1.0,-1.0,-1.0
acquit,1.0,1.0,0.7333333333333334,0.2,
acquits,0.025,0.025,0.025,0.025,
acquitted,0.25,0.25,0.25,0.25,
acquitting,0.325,0.325,0.325,0.325,
acrid,-1.0,-1.0,-1.0,-1.0,-1.0
acridly,-1.0,-1.0,-1.0,-1.0,
acridness,-1.0,-1.0,-1.0,-1.0,
acrimonious,-1.0,-1.0,-1.0,-0.425,
acrimoniously,-1.0,-1.0,-1.0,-1.0,
acrimony,-1.0,-1.0,-1.0,-1.0,
active,1.0,1.0,1.0,1.0,1.0
actively,0.325,0.325,0.325,0.325,
activeness,0.15,0.15,0.15,0.15,
activenesses,0.2,0.2,0.2,0.2,
actives,1.0,1.0,1.0,1.0,1.0
activist,0.0,0.0,0.0,0.0,
actual,0.0,0.0,0.0,0.0,
actuality,-1.0,-1.0,-1.0,-1.0,-1.0
actually,0.0,0.0,0.0,0.0,
acumen,1.0,1.0,1.0,1.0,
adamant,-1.0,-1.0,-1.0,-1.0,-1.0
adamantly,-1.0,-1.0,-1.0,-1.0,-1.0
adaptability,1.0,1.0,1.0,1.0,1.0
adaptable,1.0,1.0,1.0,1.0,1.0
adaptive,1.0,1.0,1.0,1.0,1.0
addict,-1.0,-1.0,-1.0,-1.0,
addicted,1.0,1.0,1.0,1.0,1.0
addicting,1.0,1.0,1.0,1.0,1.0
addiction,1.0,1.0,1.0,1.0,1.0
addicts,-1.0,-1.0,-1.0,-1.0,-1.0
adept,1.0,1.0,1.0,1.0,1.0
adeptly,1.0,1.0,1.0,1.0,1.0
adequate,1.0,1.0,1.0,1.0,1.0
adherence,1.0,1.0,1.0,1.0,
adherent,1.0,1.0,1.0,1.0,
adhesion,-1.0,-1.0,-1.0,-1.0,-1.0
adjustable,1.0,1.0,1.0,1.0,1.0
admirability,0.6,0.6,0.6,0.6,
admirable,1.0,1.0,1.0,1.0,1.0
admirableness,0.55,0.55,0.55,0.55,
admirably,1.0,1.0,1.0,1.0,1.0
admiral,0.325,0.325,0.325,0.325,
admirals,-1.0,-1.0,-1.0,-1.0,-1.0
admiralties,0.4,0.4,0.4,0.4,
admiralty,0.3,0.3,0.3,0.3,
admiration,1.0,1.0,1.0,1.0,1.0
admirations,0.4,0.4,0.4,0.4,
admire,1.0,1.0,1.0,1.0,1.0
admired,1.0,1.0,1.0,1.0,1.0
admirer,1.0,1.0,1.0,1.0,1.0
admirers,1.0,1.0,1.0,1.0,1.0
admires,1.0,1.0,1.0,1.0,1.0
admiring,1.0,1.0,1.0,1.0,1.0
admiringly,1.0,1.0,1.0,0.575,
admission,1.0,1.0,1.0,1.0,
admit,-1.0,-1.0,-1.0,-1.0,-1.0
admits,-1.0,-1.0,-1.0,-1.0,-1.0
admitted,-1.0,-1.0,-1.0,-1.0,-1.0
admittedly,-1.0,-1.0,-1.0,-1.0,-1.0
admonish,-1.0,-1.0,-1.0,-1.0,-1.0
admonished,-1.0,-1.0,-1.0,-1.0,-1.0
admonisher,-1.0,-1.0,-1.0,-1.0,
admonishingly,-1.0,-1.0,-1.0,-1.0,
admonishment,-1.0,-1.0,-1.0,-1.0,-1.0
admonition,-1.0,-1.0,-1.0,-1.0,-1.0
adolescents,0.0,0.0,0.0,0.0,
adopt,0.175,0.175,0.175,0.175,
adopts,0.175,0.175,0.175,0.175,
adorability,0.55,0.55,0.55,0.55,
adorable,1.0,1.0,1.0,1.0,1.0
adorableness,0.625,0.625,0.625,0.625,
adorably,1.0,1.0,1.0,1.0,1.0
adoration,0.725,0.725,0.725,0.725,
adorations,0.55,0.55,0.55,0.55,
adore,1.0,1.0,1.0,1.0,1.0
adored,1.0,1.0,1.0,1.0,1.0
adorer,1.0,1.0,1.0,0.425,
adorers,0.525,0.525,0.525,0.525,
adores,1.0,1.0,1.0,1.0,1.0
adoring,1.0,1.0,1.0,0.65,
adoringly,1.0,1.0,1.0,0.6,
adorn,1.0,1.0,1.0,1.0,1.0
adorned,1.0,1.0,1.0,1.0,1.0
adorner,0.325,0.325,0.325,0.325,
adorners,0.225,0.225,0.225,0.225,
adorning,1.0,1.0,1.0,1.0,1.0
adornment,0.325,0.325,0.325,0.325,
adornments,0.2,0.2,0.2,0.2,
adorns,1.0,1.0,1.0,1.0,1.0
adrift,-1.0,-1.0,-1.0,-1.0,
adroit,1.0,1.0,1.0,1.0,1.0
adroitly,1.0,1.0,1.0,1.0,
adulate,1.0,1.0,1.0,1.0,
adulation,1.0,1.0,1.0,1.0,
adulatory,1.0,1.0,1.0,1.0,
adulterate,-1.0,-1.0,-1.0,-1.0,
adulterated,-1.0,-1.0,-1.0,-1.0,-1.0
adulteration,-1.0,-1.0,-1.0,-1.0,-1.0
adulterier,-1.0,-1.0,-1.0,-1.0,
advanced,1.0,1.0,1.0,1.0,1.0
advantage,1.0,1.0,1.0,0.25,
advantaged,-1.0,-1.0,-1.0,-1.0,-1.0
advantageous,1.0,1.0,1.0,0.375,
advantageously,0.7375,0.7375,1.0,0.475,
advantageousness,0.4,0.4,0.4,0.4,
advantages,1.0,1.0,1.0,1.0,1.0
advantaging,0.4,0.4,0.4,0.4,
adventure,1.0,1.0,1.0,1.0,1.0
adventured,1.0,1.0,1.0,1.0,1.0
adventurer,0.3,0.3,0.3,0.3,
adventurers,1.0,1.0,1.0,1.0,1.0
adventures,1.0,1.0,1.0,1.0,1.0
adventuresome,1.0,1.0,1.0,1.0,1.0
adventuresomeness,0.325,0.325,0.325,0.325,
adventuress,0.2,0.2,0.2,0.2,
adventuresses,0.35,0.35,0.35,0.35,
adventuring,1.0,1.0,1.0,1.0,1.0
adventurism,1.0,1.0,0.7916666666666666,0.375,
adventurist,0.35,0.35,0.35,0.35,
adventuristic,0.425,0.425,0.425,0.425,
adventurists,1.0,1.0,1.0,1.0,1.0
adventurous,1.0,1.0,1.0,1.0,1.0
adventurously,0.325,0.325,0.325,0.325,
adventurousness,0.45,0.45,0.45,0.45,
adversarial,-1.0,-1.0,-1.0,-1.0,-1.0
adversaries,-0.25,-0.25,-0.25,-0.25,
adversary,-1.0,-1.0,-1.0,-0.2,
adversative,-0.3,-0.3,-0.3,-0.3,
adversatively,-0.025,-0.025,-0.025,-0.025,
adversatives,-0.25,-0.25,-0.25,-0.25,
adverse,-1.0,-1.0,-1.0,-1.0,-1.0
adversely,-1.0,-1.0,-1.0,-1.0,-1.0
adverseness,-0.15,-0.15,-0.15,-0.15,
adversities,-0.375,-0.375,-0.375,-0.375,
adversity,-1.0,-1.0,-1.0,-1.0,-1.0
advice,1.0,1.0,1.0,1.0,1.0
advisable,1.0,1.0,1.0,1.0,
advocacy,1.0,1.0,1.0,1.0,
advocate,1.0,1.0,1.0,1.0,1.0
advocated,1.0,1.0,1.0,1.0,1.0
advocates,1.0,1.0,1.0,1.0,1.0
affability,1.0,1.0,1.0,1.0,1.0
affable,1.0,1.0,1.0,1.0,1.0
affably,1.0,1.0,1.0,1.0,
affect,-1.0,-1.0,-1.0,-1.0,-1.0
affectation,-1.0,-1.0,-1.0,-1.0,-1.0
affected,-1.0,-1.0,-1.0,-1.0,-1.0
affection,1.0,1.0,1.0,1.0,1.0
affectional,0.475,0.475,0.475,0.475,
affectionally,0.375,0.375,0.375,0.375,
affectionate,1.0,1.0,1.0,1.0,1.0
affectionately,1.0,1.0,1.0,1.0,1.0
affectioned,0.45,0.45,0.45,0.45,
affectionless,-0.5,-0.5,-0.5,-0.5,
affections,0.375,0.375,0.375,0.375,
affinity,1.0,1.0,1.0,1.0,
affirm,1.0,1.0,1.0,1.0,
affirmation,1.0,1.0,1.0,1.0,
affirmative,-1.0,-1.0,-1.0,-1.0,-1.0
afflict,-1.0,-1.0,-1.0,-1.0,
afflicted,-1.0,-1.0,-1.0,-1.0,-1.0
affliction,-1.0,-1.0,-1.0,-1.0,-1.0
afflictive,-1.0,-1.0,-1.0,-1.0,
affluence,1.0,1.0,1.0,1.0,
affluent,1.0,1.0,1.0,1.0,
afford,1.0,1.0,1.0,1.0,
affordable,1.0,1.0,1.0,1.0,1.0
affordably,1.0,1.0,1.0,1.0,1.0
affront,-1.0,-1.0,-1.0,-1.0,-1.0
affronted,-1.0,-1.0,-1.0,-1.0,-1.0
afloat,1.0,1.0,1.0,1.0,
afordable,1.0,1.0,1.0,1.0,1.0
afraid,-1.0,-1.0,-1.0,-1.0,-1.0
afu,-0.725,-0.725,-0.725,-0.725,
against,-1.0,-1.0,-1.0,-1.0,-1.0
aggravate,-1.0,-1.0,-1.0,-1.0,-1.0
aggravated,-1.0,-1.0,-1.0,-1.0,-1.0
aggravates,-1.0,-1.0,-1.0,-1.0,-1.0
aggravating,-1.0,-1.0,-1.0,-1.0,-1.0
aggravation,-1.0,-1.0,-1.0,-1.0,-1.0
aggress,-0.325,-0.325,-0.325,-0.325,
aggressed,-0.35,-0.35,-0.35,-0.35,
aggresses,-0.125,-0.125,-0.125,-0.125,
aggressing,-0.15,-0.15,-0.15,-0.15,
aggression,-1.0,-1.0,-1.0,-1.0,-1.0
aggressions,-0.325,-0.325,-0.325,-0.325,
aggressive,-1.0,-1.0,-1.0,-1.0,-1.0
aggressively,-1.0,-1.0,-1.0,-1.0,-1.0
aggressiveness,-1.0,-1.0,-1.0,-1.0,-1.0
aggressivities,-0.35,-0.35,-0.35,-0.35,
aggressivity,-0.15,-0.15,-0.15,-0.15,
aggressor,-1.0,-1.0,-1.0,-1.0,-1.0
aggressors,-1.0,-1.0,-1.0,-1.0,-1.0
aggrieve,-1.0,-1.0,-1.0,-1.0,
aggrieved,-1.0,-1.0,-1.0,-1.0,-1.0
aggrivation,-1.0,-1.0,-1.0,-1.0,-1.0
aghast,-1.0,-1.0,-1.0,-1.0,-1.0
agile,1.0,1.0,1.0,1.0,1.0
agilely,1.0,1.0,1.0,1.0,
agility,1.0,1.0,1.0,1.0,1.0
agitate,-1.0,-1.0,-1.0,-1.0,-1.0
agitated,-1.0,-1.0,-1.0,-1.0,-1.0
